Tool Name,Type,Platform(s),Primary Language(s),Overhead,Cost,URL/Package,Key Features,Best For,Sampling/Instrumentation
flamegraph,Rust Flame Graphs,Linux/macOS,Rust,<5%,Open Source,https://github.com/flamegraph-rs/flamegraph,"Rust wrapper around perf/DTrace; beautiful SVG flame graphs; cargo integration; minimal setup","Rust flame graphs; publication-quality; works with cargo",Sampling
cargo-flamegraph,Cargo Profiler,Linux/macOS,Rust,<5%,Open Source,cargo install flamegraph,"Cargo subcommand wrapper; simplifies flamegraph generation; calls underlying perf/DTrace","Rust profiling via cargo; easy integration",Sampling
stackprof,Ruby Sampler,All platforms,Ruby,1-2%,Open Source,https://github.com/tmm1/stackprof,"Lightweight sampling CPU profiler; low overhead; flame graph output; JSON format; production-safe; multiple sampling modes","Low-overhead Ruby profiling; production-ready; good documentation",Sampling
ruby-prof,Ruby Profiler,All platforms,Ruby,High,Open Source,https://github.com/ruby-prof/ruby-prof,"Deterministic profiler; time + memory + allocations; multiple output formats (flat/graph/HTML); call graphs","Detailed Ruby analysis; development-focused; comprehensive metrics",Instrumentation
fb-sampling-profiler,Facebook Ruby Profiler,Linux/macOS,Ruby,<2%,Open Source (Facebook),https://github.com/facebookarchive/ruby-jit-sampling-profiler,"Facebook's lightweight sampling profiler; C extension; minimal runtime impact","Facebook-engineered Ruby profiling; low overhead",Sampling
Xdebug,PHP Profiler,All platforms,PHP,High,Open Source (PECL),https://xdebug.org/,"Function-level profiling; cachegrind output format; step debugging; code coverage; IDE integration","Comprehensive PHP debugging + profiling; IDE integration; high overhead",Instrumentation
Xhprof / Tideways,PHP Profiler,All platforms,PHP,Variable,Open Source (Xhprof) / Commercial (Tideways),https://tideways.com/,"Hierarchical function profiling; call graphs; memory tracking; web UI available; originally Facebook","Purpose-built PHP profiling; good visualization; open source and commercial options",Instrumentation
Blackfire,Commercial PHP Profiler,SaaS,PHP,<2%,Commercial (free tier),https://www.blackfire.io/,"Sampling-based profiling; web UI; CI/CD integration; performance comparison; remote profiling; low overhead","Commercial PHP profiling; CI/CD integration; professional UI",Sampling
Visual Studio Profiler,Visual Studio Profiler,.NET/Windows,C#/.NET,Variable,"Built-in (Visual Studio Community/Pro)",https://learn.microsoft.com/en-us/visualstudio/profiling/,"Instrumentation + sampling hybrid; CPU + memory + concurrency; timeline visualization; call tree; IDE integration","Built-in .NET IDE profiler; comprehensive features",Hybrid
dotTrace,JetBrains Profiler,Windows/macOS/Linux,.NET,Variable,Commercial (JetBrains),https://www.jetbrains.com/profiler/,"Timeline + sampling modes; SQL query tracking; HTTP request analysis; GC tracking; I/O analysis; remote profiling","Professional .NET profiler; tracks high-level operations; commercial",Hybrid
CLR Profiler,Legacy .NET Profiler,Windows,C#/.NET,Variable,Open Source (legacy),https://github.com/Microsoft/clr-md,"Memory allocation tracking; GC analysis; visual memory representation; heap dump analysis; legacy tool","Memory-focused .NET analysis; legacy codebases",Instrumentation
New Relic,SaaS APM,Cloud,Multi (Python/Node.js/Go/Ruby/PHP/Java/.NET),<5%,Commercial (free tier: 100GB/month),https://newrelic.com/,"CPU profiling with flame graphs; method-level timing; transaction profiling; remote profiling; real-time + historical analysis; custom instrumentation","Cloud APM with profiling; good visualization; multi-language support",Sampling
Datadog,SaaS APM,Cloud,Multi (Python/Node.js/Go/Ruby/PHP/Java/.NET),<5%,Commercial (free trial),https://www.datadoghq.com/,"Continuous CPU profiling; flame graphs; service dependency mapping; method-level analysis; production profiling; code hotspot identification","Cloud APM with flame graphs; excellent visualization; integrated tracing",Sampling
Prometheus + Grafana,Open Source Metrics,Self-hosted,Multi,Variable,Open Source,https://prometheus.io/,"Pull-based metrics; integration with pprof format; works with continuous profilers; node_exporter for system metrics; flexible integration","Self-hosted metrics + visualization; flexible; pair with profilers",N/A
Google Cloud Profiler,GCP Profiler,GCP,Multi (Python/Node.js/Go/Java/PHP),<2%,Included (GCP),https://cloud.google.com/profiler/docs,"Continuous CPU profiling; memory allocation profiling; flame graph visualization; cloud integration; low overhead; multi-language","Cloud-native profiling; low overhead; GCP integration",Sampling
Elastic APM,Open Source/Commercial APM,Self-hosted,Multi (Python/Node.js/Go/Ruby/PHP/Java/.NET/C++),Variable,Open Source / Commercial,https://www.elastic.co/observability/application-performance-monitoring,"CPU + memory profiling; distributed tracing; Kibana visualization; self-hosted or managed; comprehensive stack","Open source APM option; Elastic Stack integration; self-hosted",Sampling
Grafana Tempo,Distributed Tracing,Self-hosted,Multi,Variable,Open Source,https://grafana.com/oss/tempo/,"Distributed tracing backend; works with pprof; integrates with Prometheus/Grafana; links traces to profiles; flame graph support","Distributed tracing with profiling integration; Prometheus ecosystem",N/A
Azure Application Insights,Microsoft APM,Azure,Multi (Python/Node.js/Java/.NET),Variable,Commercial (Microsoft),https://learn.microsoft.com/en-us/azure/azure-monitor/app/app-insights-overview,"CPU + memory profiling; transaction analysis; dependency mapping; Azure integration","Microsoft cloud profiling; Azure integration; similar to New Relic",Sampling
Systemtap,Dynamic Tracing Framework,Linux,Any (system-wide),Variable,Open Source,https://sourceware.org/systemtap/,"Dynamic instrumentation framework; custom tracing scripts; kernel + user-space tracing; real-time data collection; minimal code modification","Custom Linux instrumentation; powerful analysis; steep learning curve",Instrumentation
DTrace,Dynamic Tracing Framework,macOS/BSD/Solaris,Any (system-wide),Low,Open Source (part of OS),https://www.brendangregg.com/dtrace.html,"Custom probe placement; low-overhead instrumentation; kernel + user-space; D language for scripts; OS-integrated","Custom BSD/macOS tracing; OS-integrated; low overhead",Instrumentation
Intel Pin,Dynamic Binary Instrumentation,Linux/Windows/macOS,Any (binary-level),High,Free (Intel),https://www.intel.com/content/www/us/en/developer/tools/oneapi/components/pin.html,"Binary-level instrumentation; no source code needed; language-agnostic; customizable analysis (Pintool)","Binary-level analysis; no recompilation; flexible",Instrumentation
Magic Trace,CPU Trace Tool,Linux,Compiled languages,Very High,Open Source (Facebook),https://github.com/facebookresearch/magictrace,"High-resolution instruction-level traces; detailed CPU behavior; large trace files; specialized use","Maximum detail for CPU behavior analysis; instruction-level",Instrumentation
Firefox Profiler,Web UI,Web-based,Any,N/A,Open Source,https://profiler.firefox.com/,"Built-in Firefox profiler; web-based UI; timeline visualization; flame graph support; integrates with profiling tools","Web UI for trace visualization; beautiful interface; open source",N/A
Heaptrack,Memory + CPU,Linux,C/C++,Variable,Open Source,https://github.com/KDE/heaptrack,"Heap memory profiling; CPU profiling; flame graphs; GC visualization; allocation tracking","Combined memory + CPU analysis; Linux-focused",Hybrid
Conprof,Continuous Profiler,All platforms,Multi,Variable,Open Source,https://github.com/conprof/conprof,"Prometheus-compatible continuous profiling; time-series profiling data; Grafana visualization; multi-language via agents","Prometheus ecosystem integration; smaller community",Sampling
Parca,Continuous eBPF Profiler,Linux,Compiled languages (C/C++/Go/Rust),<1%,Open Source,https://github.com/parca-dev/parca,"eBPF-based continuous profiling; low-overhead collection; historical data retention; flame graphs; Kubernetes integration; no code changes","Production continuous profiling; open source; eBPF-based; compiled languages",Sampling
Pyroscope,Continuous Multi-Language Profiler,All platforms,Multi (Python/Go/Ruby/Node.js/Java/.NET/Rust/PHP),<2%,Open Source / Commercial,https://github.com/pyroscope-io/pyroscope,"SDK-based continuous profiling; multi-language support; profile comparison; flame graphs; tag-based filtering; Docker/Kubernetes ready; active development","Multi-language production profiling; SDKs; active development",Sampling
